truth_type_p1,truth_type_p2,player,dev_type,EU_truth,EU_dev,regret
100,17,1,40,14.28,14.33,0.05000000000000071
100,17,1,41,14.28,14.33,0.05000000000000071
100,17,1,42,14.28,14.33,0.05000000000000071
100,17,1,43,14.28,14.33,0.05000000000000071
100,17,1,52,14.28,14.33,0.05000000000000071
100,17,1,53,14.28,14.33,0.05000000000000071
100,17,1,54,14.28,14.33,0.05000000000000071
100,17,1,55,14.28,14.33,0.05000000000000071
100,17,1,64,14.28,14.33,0.05000000000000071
100,17,1,65,14.28,14.33,0.05000000000000071
100,17,1,66,14.28,14.33,0.05000000000000071
100,17,1,67,14.28,14.33,0.05000000000000071
